Monday 09 December 2019 17:29,1420.7.1560,release/1420 (commit hash : 0xE4D4BBB3)
Binding,ImageBlocks-dialogs,ImageBlocks-schemas,Master-schemas,Gui-dialogs,TrueTouch,PrintServer,ImageBlocks-unittest
AddTestApiWebPages,0,0,0,0,1,0,0
AlgTest.EfgForegroundRegion,1,1,1,1,0,0,1
AlgTest.MacBethRegionsFromY8Image,1,1,0,1,0,0,1
BindingDumpResultDialog,1,0,0,1,0,0,0
BlockEnvironment.AddString,1,1,1,1,1,1,1
BlockEnvironment.GetString,1,1,1,1,1,1,1
BlockEnvironment.GetStringId,1,1,1,1,1,1,1
BlockEnvironment.RegisterCoroutine,1,1,1,1,0,0,1
CAntiAliasedFontRenderer.ConstCast,1,1,0,1,1,0,1
CAntiAliasedFontRenderer.IsValid,1,1,0,1,1,0,1
CAntiAliasedFontRenderer.New,1,1,0,1,1,0,1
CAsparagusFlower.ConstCast,1,1,1,1,0,0,1
CAsparagusFlower.IsValid,1,1,1,1,0,0,1
CAsparagusFlower.New,1,1,1,1,0,0,1
CBackgroundSeparation.ConstCast,1,1,1,1,0,0,1
CBackgroundSeparation.IsValid,1,1,1,1,0,0,1
CBackgroundSeparation.New,1,1,1,1,0,0,1
CBlockDataObject.ConstCast,1,1,1,1,1,1,1
CBlockDataObject.IsValid,1,1,1,1,1,1,1
CBlockDataObject.New,1,1,1,1,1,1,1
CCameraOffsetCalculator.ConstCast,1,1,1,1,0,0,1
CCameraOffsetCalculator.IsValid,1,1,1,1,0,0,1
CCameraOffsetCalculator.New,1,1,1,1,0,0,1
CDataProvider.ConstCast,1,1,1,1,1,0,1
CDataProvider.Create,1,1,1,1,1,0,1
CDataProvider.Exists,1,1,1,1,1,0,1
CDataProvider.FromFile,1,1,1,1,1,0,1
CDataProvider.IsValid,1,1,1,1,1,0,1
CDataProvider.New,1,1,1,1,1,0,1
CDraw.InvertAlpha,1,1,1,1,1,0,1
CDraw.New,1,1,1,1,1,0,1
CDraw.PremultiplyAlpha,1,1,1,1,1,0,1
CECompressedImage.ConstCast,1,1,1,1,0,0,1
CECompressedImage.IsValid,1,1,1,1,0,0,1
CECompressedImage.New,1,1,1,1,0,0,1
CESpectralMeasurementData.ConstCast,1,1,1,1,0,0,1
CESpectralMeasurementData.IsValid,1,1,1,1,0,0,1
CESpectralMeasurementData.New,1,1,1,1,0,0,1
CETime.CountersToTimeDifference,1,1,1,1,1,1,1
CETime.GetCounter,1,1,1,1,1,1,1
CETime.GetCounterString,1,1,1,1,1,1,1
CETime.GetRunTime,1,1,1,1,1,1,1
CETime.GetSysString,1,1,1,1,1,1,1
CETime.date,1,1,1,1,1,1,1
CEVRIMatrix2D.ConstCast,1,1,1,1,0,0,1
CEVRIMatrix2D.IsValid,1,1,1,1,0,0,1
CEVRIMatrix2D.Minus,1,1,1,1,0,0,1
CEVRIMatrix2D.New,1,1,1,1,0,0,1
CEVRIMatrix2D.Plus,1,1,1,1,0,0,1
CEVRIMatrix2D.Power,1,1,1,1,0,0,1
CEVRIMatrix2D.Rdivide,1,1,1,1,0,0,1
CEVRIMatrix2D.Times,1,1,1,1,0,0,1
CFsObjectsInterface.ConstCast,1,1,0,0,0,0,1
CFsObjectsInterface.IsValid,1,1,0,0,0,0,1
CFsObjectsInterface.New,1,1,0,0,0,0,1
CLinearExtrapolationObject.ConstCast,1,1,1,1,0,0,1
CLinearExtrapolationObject.IsValid,1,1,1,1,0,0,1
CLinearExtrapolationObject.New,1,1,1,1,0,0,1
CLuaDataProvider.New,1,0,0,1,0,0,0
CLuaEfgChainTracer.ConstCast,1,1,1,1,0,0,1
CLuaEfgChainTracer.IsValid,1,1,1,1,0,0,1
CLuaEfgChainTracer.New,1,1,1,1,0,0,1
CMachinePosition.ConstCast,1,1,1,1,0,1,1
CMachinePosition.IsValid,1,1,1,1,0,1,1
